couple_1,couple_2,sum_paper
57188833403,57207760083,1
57188833403,57189340228,1
57188833403,57207770103,1
57188833403,6507148897,1
57188833403,57201688510,2
57188833403,54791173900,2
57188833403,57201685035,2
57188833403,57193707432,2
57188833403,55331105300,1
57188833403,55351397700,1
57205093001,56118787200,25
57205093001,6508196587,12
57205093001,55885685300,11
57205093001,56119154900,2
57205093001,56521579100,19
57205093001,57193701425,4
57205093001,57211059390,2
57205093001,37013424100,23
57205093001,57188985405,7
57205093001,56126778500,2
57205093001,56716397400,7
57205093001,57194160083,7
57205093001,57193834555,3
57205093001,55014232200,3
57205093001,56363073800,17
57205093001,56626063000,15
57205093001,53264793000,1
57205093001,57190865720,4
57205093001,14021131100,10
57205093001,55522888300,1
57205093001,55625316600,1
57205093001,6507465058,7
57205093001,15044388200,1
57205093001,36815724000,6
57205093001,57201979474,1
57205093001,57201080360,2
57205093001,6505807438,6
57205093001,55867324700,4
57205093001,6503971709,4
57205093001,56461394900,5
57205093001,6507865865,1
57205093001,6504731736,1
57205093001,57203922071,3
57205093001,55585368600,1
57205093001,57200186028,3
57205093001,35611399700,3
57205093001,57035625100,1
57205093001,57206668393,1
57205093001,37049523800,1
57205093001,36982794300,1
57205093001,57053392900,7
57205093001,13403740100,18
57205093001,57211146746,1
57205093001,57211146165,1
57205093001,57211144522,1
57205093001,57210473582,1
57205093001,6506721930,1
57205093001,57205093207,1
57205093001,55001755600,2
57205093001,55001755500,2
57205093001,57204156065,3
57205093001,57208595109,1
57205093001,57207310835,1
57205093001,57208600781,1
57205093001,55648638200,5
57205093001,57208594808,1
57205093001,57208593224,1
57205093001,57200216451,1
57205093001,57208593594,1
57205093001,57208597898,1
57205093001,57194714615,4
57205093001,57208600184,1
57205093001,57194213010,7
57205093001,57202226537,1
57205093001,57208597276,1
57205093001,57208283578,1
57205093001,57203841017,1
57205093001,57208279850,1
57205093001,56242366200,7
57205093001,57210471237,1
57205093001,57200212710,1
57205093001,6506236074,4
57205093001,6602940740,1
57205093001,56582236000,1
57205093001,57203859161,26
57205093001,57210847043,15
57205093001,56582260700,1
57205093001,57208010152,1
57205093001,57207598085,3
57205093001,57207307277,1
57205093001,57200214175,1
57205093001,53980458700,1
57205093001,57207764868,1
57205093001,57207736043,1
57205093001,24536664300,3
57205093001,57207731117,1
57205093001,57202577227,3
57205093001,57207310513,1
57205093001,57193119499,1
57205093001,57207310563,1
57205093001,57207295843,1
57205093001,57190164831,1
57205093001,57207312838,1
57205093001,57207308809,1
57205093001,57207301061,1
57205093001,57208437626,1
57205093001,57194546265,1
57205093001,57207690915,1
57205093001,56268555600,3
57205093001,57211239831,1
57205093001,57211243607,1
57205093001,57211059562,1
57205093001,57160272300,1
57205093001,57193735556,1
57205093001,55203594300,1
57205093001,57209643607,1
57205093001,56461361200,6
57205093001,57207046701,1
57205093001,57200216409,1
57205093001,57205126256,1
57205093001,57205123483,1
57205093001,57205123217,1
57205093001,57205358957,1
57205093001,57202129746,1
57205093001,57188863265,1
57205093001,57204430045,1
57205093001,55008449900,2
57205093001,57210630563,1
57205093001,57205062060,1
57205093001,55625658900,1
57205093001,57205029620,1
57205093001,57205023239,1
57205093001,57205020660,1
57205093001,57205021853,1
57205093001,57195904726,3
57205093001,57205028023,1
57205093001,57204945319,1
57205093001,57204786705,1
57205093001,57204197320,1
57205093001,57204197208,1
57205093001,57203065950,2
57205093001,57210468070,1
57205093001,57210465441,1
57205093001,57210468803,1
57205093001,57209973805,1
57205093001,57210465873,1
57205093001,57209969714,1
57205093001,57205060763,1
57205093001,57209975989,1
57205093001,57210468035,1
57205093001,57210461940,1
57205093001,57210460909,1
57205093001,57188979780,3
57205093001,57208585903,1
57205093001,57208575837,1
57205093001,57208575333,1
57205093001,56638527400,1
57205093001,57203205720,1
57205093001,57190859329,2
57205093001,57203203457,1
57205093001,57202132579,2
57205093001,57203206258,1
57205093001,57207806424,1
57205093001,57203138269,1
57205093001,57189267265,1
57205093001,53264599300,1
57205093001,6602725346,1
57205093001,14019972600,1
57205093001,56906981800,1
57205093001,57203063403,1
57205093001,57203063873,1
57205093001,56703537300,1
57205093001,57144449500,1
57205093001,57194717741,2
57205093001,57202151978,1
57205093001,57202154279,1
57205093001,39761245500,3
57205093001,16309200100,3
57205093001,57202131034,1
57205093001,57203092481,1
57205093001,57203058557,1
57205093001,36337949500,1
57205093001,57203066780,1
57205093001,56958616200,1
57205093001,56411854200,3
57205093001,57203090511,1
57205093001,57189239308,1
57205093001,55835973000,1
57205093001,55932622400,4
57205093001,57204528140,1
57205093001,57204155410,1
57205093001,57204154823,1
57205093001,57202756214,1
57205093001,55014617600,1
57205093001,57015448400,2
57205093001,30467852500,1
57205093001,55320586000,2
57205093001,57200114199,1
57205093001,57209270756,1
57205093001,57208282567,1
57205093001,57196027655,1
57205093001,56119371400,1
57205093001,57194545619,1
