institution_country_1,institution_name_1,couple_1,couple_2,institution_name_2,institution_country_2,sum_paper
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,1598
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60108869,"Universitas Mercu Buana, Jl. Meruya Selatan No.1, Jakarta, Indonesia",Indonesia,79
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60103610,"Bina Nusantara University, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,72
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,104608856,"Department of Engineering Education, 1600 Old Main Hill, Logan, UT, United States, 84322-1400",United States,58
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,115807387,"Kampus UI Depok, Depok, Java, Indonesia, 16424",Indonesia,54
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,114292120,"Department of Information Systems, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,49
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,114748149,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",United States,47
United States,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",60033011,60013609,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",United States,44
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60008408,"University of Zagreb, Trg Republike Hrvatske 14, Zagreb, Croatia, 10000",Croatia,39
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,113922700,"Department of Informatics, Semarang, Central Java, Indonesia",Indonesia,37
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,103051948,"Department of Micro-Nano Mechanical Science and Engineering, Furo-cho, Chikusa-ku, Nagoya, Aichi, Japan, 464-8601",Japan,36
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,112270602,"Department of Mechanical Engineering, 1-501 Shiogamaguchi, Nagoya, Aichi, Japan, 468-8502",Japan,36
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60070441,"Universitas Pelita Harapan, Jl. M.H. Thamrin Boulevard, Tangerang, Banten, Indonesia, 15811",Indonesia,36
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,112605579,"School of Informatics, Old College South Bridge, Edinburgh, Scotland, United Kingdom, EH8 9YL",United Kingdom,35
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60021944,"Kasetsart University, 50 Phahonyothin Road, Bangkok, Thailand",Thailand,34
United States,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",114748149,60013609,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",United States,34
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60069407,"Badan Pengkajian dan Penerapan Teknologi, Jakarta, Java, Indonesia",Indonesia,32
United States,"Wright State University, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",60018306,114748149,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",United States,28
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,120798584,"Professor Emeritus of Departamento de Informática, Faculdade de Ciências e Tecnologia, Caparica, Portugal, 2829-516",Portugal,28
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,60108869,"Universitas Mercu Buana, Jl. Meruya Selatan No.1, Jakarta, Indonesia",Indonesia,28
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,113730915,"Department of Computer Science, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,27
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,104757287,"Department of Public Health, Depok, Java, Indonesia, 16424",Indonesia,26
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60105082,"Universitas Negeri Surabaya, Jl. Ketintang, Surabaya, Indonesia, 60231",Indonesia,25
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,60069378,"University of Indonesia, RSUPN Dr. Cipto Mangunkusumo, Jalan Pangeran Diponegoro No.71, Kenari, Senen, RW.5, Kenari, RW.5, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota, Jakarta, Indonesia, 10430",Indonesia,25
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60069378,"University of Indonesia, RSUPN Dr. Cipto Mangunkusumo, Jalan Pangeran Diponegoro No.71, Kenari, Senen, RW.5, Kenari, RW.5, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota, Jakarta, Indonesia, 10430",Indonesia,25
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,104757263,"Faculty of Computer Science, Depok, Java, Indonesia, 16424",Indonesia,23
Japan,"Department of Mechanical Engineering, 1-501 Shiogamaguchi, Nagoya, Aichi, Japan, 468-8502",112270602,103051948,"Department of Micro-Nano Mechanical Science and Engineering, Furo-cho, Chikusa-ku, Nagoya, Aichi, Japan, 464-8601",Japan,23
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60013609,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",United States,21
United States,"Wright State University, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",60018306,60013609,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",United States,21
United States,"Marine Geology and Geophysics, 61 Rte. 9W., Palisades, NY, United States, 10964",104676705,60013609,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",United States,21
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,118365648,"Department of Computer Science, Jl. Dipati Ukur No 35, Bandung, West Java, Indonesia, 40132",Indonesia,20
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,118267876,"E-Government and E-Business Research Lab, Depok, Java, Indonesia, 16424",Indonesia,20
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,112270602,"Department of Mechanical Engineering, 1-501 Shiogamaguchi, Nagoya, Aichi, Japan, 468-8502",Japan,20
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,113870693,"Department of Mathematics, Depok, Java, Indonesia, 16424",Indonesia,20
United States,"Woods Hole Oceanographic Institution, 266 Woods Hole Road, Woods Hole, MA, United States, 02543-1050",60013609,60020760,"National Center for Ecological Analysis and Synthesis, 735 State Street, Suite 300, Santa Barbara, CA, United States, 93101-5509",United States,20
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,103051948,"Department of Micro-Nano Mechanical Science and Engineering, Furo-cho, Chikusa-ku, Nagoya, Aichi, Japan, 464-8601",Japan,20
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,112067453,"Research Center for Informatics, Jakarta, Java, Indonesia",Indonesia,19
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,118495196,"STMIK Bina Insani, Bekasi, Jakarta, West Java, Indonesia",Indonesia,18
