affiliation_country,full_name,id_affiliation,keyword,sum_paper
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,information systems,93
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,computer science,63
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,indonesia,57
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,knowledge management,46
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,e-government,39
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,information systems,34
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,e-learning,33
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,artificial intelligence,33
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,ontology,33
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,algorithms,33
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,indonesia,31
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,learning systems,30
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,big data,28
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,e-government,27
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,deep learning,26
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,data mining,25
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,social media,24
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,semantic web,23
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,knowledge management,23
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,systematic literature review,22
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,e-commerce,21
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,classification,21
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,twitter,21
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,neural networks,21
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,information retrieval,20
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,machine learning,20
United States,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",114748149,semantic web,18
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,security of data,18
