dosen_fasilkom,h_index,author_name,id_author,id_affiliation,affiliation_detail,affiliation_country,sum_paper
yes,9,Achmad Nizar Hidayanto,57205093001,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,260
yes,6,Dana Indra Sensuse,53264793000,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,169
yes,18,Wisnu Jatmiko,8568432600,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,161
yes,18,Wisnu Jatmiko,8568432600,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,151
yes,6,Dana Indra Sensuse,53264793000,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,134
yes,9,Achmad Nizar Hidayanto,57205093001,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,110
yes,7,Putu Wuri Handayani,37013424100,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,109
yes,10,Petrus Mursanto,24176993000,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,108
yes,7,Indra Budi,14021131100,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,96
yes,6,Puspa Indahati Sandhyaduhita,56118787200,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,87
yes,3,Betty Purwandari,56716397400,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,76
yes,10,Petrus Mursanto,24176993000,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,73
yes,10,Aniati Murni Arymurthy,36815724000,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,72
yes,3,Ave Adriana Pinem,56626063000,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,70
yes,6,Yudho Giri Sucahyo,6507465058,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,68
yes,9,Harry Budi Santoso,55396730800,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,66
yes,9,Harry Budi Santoso,55396730800,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,66
yes,4,Muhammad Rifki Shihab,56363073800,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,63
yes,10,M. Ivan Fanany,6505757323,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,62
no,3,Elin Cahyaningsih,56595080500,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,59
yes,7,Ari Wibisono,55625531300,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,59
no,2,Handrie Noprisson,57189267265,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,57
yes,4,Muhammad Rifki Shihab,56363073800,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,56
yes,8,Muhammad Anwar Ma’sum,54974181100,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,54
yes,7,Ari Wibisono,55625531300,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,50
yes,7,Zainal A.Hasibuan,57203922071,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,49
yes,7,Mirna Adriani,35611399700,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,49
yes,8,Adila Alfa Krisnadhi,23467371600,114748149,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",United States,47
yes,3,Betty Purwandari,56716397400,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,46
yes,4,Nur Fitriah Ayuning Budi,56521579100,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,44
yes,10,M. Ivan Fanany,6505757323,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,42
yes,7,Putu Wuri Handayani,37013424100,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,42
yes,5,Wahyu Catur Wibowo,56126778500,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,42
yes,6,Yudho Giri Sucahyo,6507465058,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,41
yes,1,Fatimah Azzahro,57194160083,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,41
no,7,Adi Nurhadiyatna,55625635400,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,39
no,4,undefined Meyliana,57203859161,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,38
no,3,Puji Rahayu,55514008400,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,36
no,8,B. Hardjono,55339290100,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,36
no,32,Pascal Hitzler,8876646400,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,36
no,5,Adi Wibowo,57205972690,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,36
yes,8,Muhammad Anwar Ma’sum,54974181100,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,36
no,58,Toshino Fukuda,36037263500,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,36
no,5,Grafika Jati,55490339500,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,34
no,16,Kongkiti Peter Phusavat,13403740100,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,33
yes,4,Kasiyah,56461394900,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,33
yes,2,Yova Ruldeviyani,56119154900,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,33
no,18,Kousuke Sekiyama,7005646496,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,33
yes,7,Indra Budi,14021131100,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,33
no,2,Arfive Gandhi,57188979780,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,32
yes,1,Iis Solichah,55014342100,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,32
yes,9,Achmad Nizar Hidayanto,57205093001,114292120,"Department of Information Systems, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,32
yes,3,Ave Adriana Pinem,56626063000,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,30
yes,6,Bobby Achirul Awal Nazief,6508196587,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,30
yes,6,Puspa Indahati Sandhyaduhita,56118787200,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,30
no,10,Benyamin Kusumoputro,11840021200,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,29
no,24,L. M. Pereira,7201962404,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,28
yes,7,Mirna Adriani,35611399700,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,28
yes,6,Dana Indra Sensuse,53264793000,60108869,"Universitas Mercu Buana, Jl. Meruya Selatan No.1, Jakarta, Indonesia",Indonesia,28
yes,8,Ari Saptawijaya,15064729000,120798584,"Professor Emeritus of Departamento de Informática, Faculdade de Ciências e Tecnologia, Caparica, Portugal, 2829-516",Portugal,28
no,5,Arief Ramadhan,53264599300,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,27
yes,1,Fatimah Azzahro,57194160083,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,27
yes,7,T. Basaruddin,9334901600,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,27
yes,10,Aniati Murni Arymurthy,36815724000,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,27
yes,2,Yova Ruldeviyani,56119154900,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,26
no,3,Dumilah Ayuningtyas,56461361200,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,26
yes,9,Harry Budi Santoso,55396730800,104608856,"Department of Engineering Education, 1600 Old Main Hill, Logan, UT, United States, 84322-1400",United States,26
yes,4,Nur Fitriah Ayuning Budi,56521579100,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,26
yes,4,Eko Kuswardono Budiardjo,6505807438,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,26
yes,4,Qorib Munajat,57190865720,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,26
yes,2,Widia Resti Fitriani,57193701425,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,25
no,7,Sani Muhamad Isa,36806230900,110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,25
