h_index_1,couple_name_1,couple_1,couple_2,couple_name_2,h_index_2,sum_paper
8,Adila Alfa Krisnadhi,23467371600,8876646400,Pascal Hitzler,32,36
10,Petrus Mursanto,24176993000,8568432600,Wisnu Jatmiko,18,35
8,Ari Saptawijaya,15064729000,7201962404,L. M. Pereira,24,28
6,Dana Indra Sensuse,53264793000,57189267265,Handrie Noprisson,2,28
6,Dana Indra Sensuse,53264793000,56595080500,Elin Cahyaningsih,3,26
18,Wisnu Jatmiko,8568432600,54974181100,Muhammad Anwar Ma’sum,8,26
9,Achmad Nizar Hidayanto,57205093001,57203859161,undefined Meyliana,4,26
10,Aniati Murni Arymurthy,36815724000,6505757323,M. Ivan Fanany,10,25
7,Putu Wuri Handayani,37013424100,56626063000,Ave Adriana Pinem,3,25
9,Achmad Nizar Hidayanto,57205093001,56118787200,Puspa Indahati Sandhyaduhita,6,25
9,Achmad Nizar Hidayanto,57205093001,37013424100,Putu Wuri Handayani,7,23
18,Wisnu Jatmiko,8568432600,36037263500,Toshino Fukuda,58,23
7,Zainal A.Hasibuan,57203922071,55396730800,Harry Budi Santoso,9,22
18,Wisnu Jatmiko,8568432600,7005646496,Kousuke Sekiyama,18,20
58,Toshino Fukuda,36037263500,7005646496,Kousuke Sekiyama,18,20
9,Achmad Nizar Hidayanto,57205093001,56521579100,Nur Fitriah Ayuning Budi,4,19
10,Petrus Mursanto,24176993000,55625531300,Ari Wibisono,7,18
18,Wisnu Jatmiko,8568432600,55625531300,Ari Wibisono,7,18
9,Achmad Nizar Hidayanto,57205093001,13403740100,Kongkiti Peter Phusavat,16,18
9,Achmad Nizar Hidayanto,57205093001,56363073800,Muhammad Rifki Shihab,4,17
9,Harry Budi Santoso,55396730800,23094683400,Oenardi Lawanto,7,17
18,Wisnu Jatmiko,8568432600,55490339500,Grafika Jati,5,17
18,Wisnu Jatmiko,8568432600,11840021200,Benyamin Kusumoputro,10,16
6,Dana Indra Sensuse,53264793000,6507465058,Yudho Giri Sucahyo,6,16
7,Putu Wuri Handayani,37013424100,57194160083,Fatimah Azzahro,1,16
6,Dana Indra Sensuse,53264793000,53264599300,Arief Ramadhan,5,15
9,Achmad Nizar Hidayanto,57205093001,57210847043,Harjanto Prabowo,4,15
4,undefined Meyliana,57203859161,57210847043,Harjanto Prabowo,4,15
6,Yudho Giri Sucahyo,6507465058,57188979780,Arfive Gandhi,2,15
9,Achmad Nizar Hidayanto,57205093001,56626063000,Ave Adriana Pinem,3,15
18,Wisnu Jatmiko,8568432600,57202899749,Aprinaldi Jasa Mantau,3,14
6,Dana Indra Sensuse,53264793000,55514008400,Puji Rahayu,3,14
7,Bayu Anggorojati,36991829400,7202700545,Neeli Rashmi Prasad,20,14
7,Bayu Anggorojati,36991829400,7402378359,Ramjee Venkatesha Prasad,45,14
3,Betty Purwandari,56716397400,55014342100,Iis Solichah,1,14
18,Wisnu Jatmiko,8568432600,57205972690,Adi Wibowo,5,13
8,Adila Alfa Krisnadhi,23467371600,13610913700,Krzysztof Janowicz,30,13
32,Pascal Hitzler,8876646400,13610913700,Krzysztof Janowicz,30,13
2,Yova Ruldeviyani,56119154900,6507465058,Yudho Giri Sucahyo,6,12
7,T. Basaruddin,9334901600,43461515300,Dewi Yanti Liliana,3,12
32,Pascal Hitzler,8876646400,13806682500,Michelle Cheatham,9,12
18,Wisnu Jatmiko,8568432600,57205093224,A. Bowolaksono,7,12
8,Adila Alfa Krisnadhi,23467371600,13806682500,Michelle Cheatham,9,12
18,Wisnu Jatmiko,8568432600,43061741400,Budi Wiweko,7,12
20,Neeli Rashmi Prasad,7202700545,7402378359,Ramjee Venkatesha Prasad,45,12
