dosen_fasilkom,h_index,full_name,id_author,funding,sum_paper
yes,9,Achmad Nizar Hidayanto,57205093001,Hibah PITTA - Universitas Indonesia,25
yes,7,Putu Wuri Handayani,37013424100,Hibah PITTA - Universitas Indonesia,21
yes,6,Dana Indra Sensuse,53264793000,Hibah PITTA - Universitas Indonesia,20
yes,3,Betty Purwandari,56716397400,Hibah PITTA - Universitas Indonesia,18
yes,9,Harry Budi Santoso,55396730800,Hibah PITTA - Universitas Indonesia,10
yes,18,Wisnu Jatmiko,8568432600,Hibah PITTA - Universitas Indonesia,9
yes,3,Ave Adriana Pinem,56626063000,Hibah PITTA - Universitas Indonesia,9
yes,2,Yova Ruldeviyani,56119154900,Hibah PITTA - Universitas Indonesia,9
yes,10,M. Ivan Fanany,6505757323,GPU Grant - NVIDIA,9
yes,6,Yudho Giri Sucahyo,6507465058,Hibah PITTA - Universitas Indonesia,9
yes,9,Achmad Nizar Hidayanto,57205093001,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,8
yes,10,M. Ivan Fanany,6505757323,Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,8
yes,7,Indra Budi,14021131100,Hibah PITTA - Universitas Indonesia,8
yes,4,Qorib Munajat,57190865720,Hibah PITTA - Universitas Indonesia,8
yes,9,Achmad Nizar Hidayanto,57205093001,Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,8
no,2,Arfive Gandhi,57188979780,Hibah PITTA - Universitas Indonesia,8
yes,4,Muhammad Rifki Shihab,56363073800,Hibah PITTA - Universitas Indonesia,7
yes,3,Rahmad Mahendra,55314037600,Hibah PITTA - Universitas Indonesia,7
yes,1,Iis Solichah,55014342100,Hibah PITTA - Universitas Indonesia,7
yes,2,Satrio Baskoro Yudhoatmojo,57188985405,Hibah PITTA - Universitas Indonesia,7
yes,4,Nur Fitriah Ayuning Budi,56521579100,Hibah PITTA - Universitas Indonesia,7
yes,8,Adila Alfa Krisnadhi,23467371600,The National Science Foundation,7
yes,7,Mirna Adriani,35611399700,Hibah PITTA - Universitas Indonesia,7
yes,10,Petrus Mursanto,24176993000,Hibah PITTA - Universitas Indonesia,7
no,32,Pascal Hitzler,8876646400,The National Science Foundation,7
yes,1,Fatimah Azzahro,57194160083,Hibah PITTA - Universitas Indonesia,7
yes,10,M. Ivan Fanany,6505757323,Hibah PITTA - Universitas Indonesia,7
yes,7,Zainal A.Hasibuan,57203922071,Hibah PITTA - Universitas Indonesia,6
yes,6,Puspa Indahati Sandhyaduhita,56118787200,Hibah PITTA - Universitas Indonesia,6
yes,1,Riri Satria,55315269500,Hibah PITTA - Universitas Indonesia,6
yes,7,Putu Wuri Handayani,37013424100,Hibah PIT9 - Universitas Indonesia,5
yes,5,Wahyu Catur Wibowo,56126778500,Hibah PITTA - Universitas Indonesia,5
yes,10,Aniati Murni Arymurthy,36815724000,Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,5
yes,1,Fatimah Azzahro,57194160083,Hibah PIT9 - Universitas Indonesia,5
yes,3,Ave Adriana Pinem,56626063000,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,5
no,4,Dwiza Riana,56242366200,Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,5
no,37,Alistair M. Moffat,35586971600,The Australian Research Council,5
yes,2,Larastri Kumaralalita,55014232200,Hibah PITTA - Universitas Indonesia,4
yes,6,Alfan Farizki Wicaksono,55522888300,Seek.com,4
yes,6,Alfan Farizki Wicaksono,55522888300,The Australian Research Council,4
yes,18,Wisnu Jatmiko,8568432600,The United States Agency for International Development (USAID),4
yes,2,Ade Azurat,8980537200,Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,4
yes,2,Ade Azurat,8980537200,Hibah PITTA - Universitas Indonesia,4
yes,10,Aniati Murni Arymurthy,36815724000,GPU Grant - NVIDIA,4
no,1,Muhammad Fadhil Dzulfikar,57200214175,Hibah PITTA - Universitas Indonesia,4
no,1,Pudy Prima,57201990089,Hibah PITTA - Universitas Indonesia,4
yes,0,Iik Wilarso,57195612312,Hibah PITTA - Universitas Indonesia,4
yes,7,Putu Wuri Handayani,37013424100,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,4
no,0,Solikin,57194213010,Hibah PITTA - Universitas Indonesia,4
yes,4,Nur Fitriah Ayuning Budi,56521579100,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,4
no,2,Handrie Noprisson,57189267265,Hibah PITTA - Universitas Indonesia,4
no,3,Elin Cahyaningsih,56595080500,Hibah PITTA - Universitas Indonesia,4
no,1,Ika Arthalia Wulandari,57200213020,Hibah PITTA - Universitas Indonesia,4
yes,3,Ika Chandra Hapsari,55885685300,Hibah PITTA - Universitas Indonesia,4
no,4,Intan Nurma Yulita,55233408900,GPU Grant - NVIDIA,4
no,4,Intan Nurma Yulita,55233408900,Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,4
no,3,Md Kamruzzaman Sarker,57191668076,The National Science Foundation,3
no,37,Alistair M. Moffat,35586971600,Seek.com,3
yes,8,Muhammad Anwar Ma’sum,54974181100,Hibah PITTA - Universitas Indonesia,3
no,0,Jonathan Sofian Lusa,57202980449,Hibah PITTA - Universitas Indonesia,3
yes,4,Eko Kuswardono Budiardjo,6505807438,Hibah PITTA - Universitas Indonesia,3
yes,10,Aniati Murni Arymurthy,36815724000,LPDP - Ministry of Finance Republic of Indonesia,3
no,24,L. M. Pereira,7201962404,Fundação para a Ciência e a Tecnologia,3
yes,2,Maya Retno Ayu Setyautami,56523330500,Hibah PITTA - Universitas Indonesia,3
no,7,Simon Razniewski,37117560500,The Free University of Bozen-Bolzano,3
yes,2,Maya Retno Ayu Setyautami,56523330500,Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,3
yes,4,Fariz Darari,55014563600,The Free University of Bozen-Bolzano,3
yes,10,Petrus Mursanto,24176993000,European Union Funding,3
yes,8,Ari Saptawijaya,15064729000,Fundação para a Ciência e a Tecnologia,3
yes,8,Adila Alfa Krisnadhi,23467371600,Hibah PITTA - Universitas Indonesia,3
no,3,Dumilah Ayuningtyas,56461361200,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,3
no,2,Harry Tursulistyono Yani Achsan,56127179900,Hibah PITTA - Universitas Indonesia,3
yes,7,Ari Wibisono,55625531300,Hibah PITTA - Universitas Indonesia,3
yes,2,Agus Kurniawan,55636539300,The Directorate General of Higher Education (DGHE) of Indonesia,3
no,0,Andy Syahrizal,57207307277,Hibah PITTA - Universitas Indonesia,3
