dosen_fasilkom,h_index,full_name,id_author,keyword,sum_paper
yes,6,Dana Indra Sensuse,53264793000,knowledge management,31
yes,18,Wisnu Jatmiko,8568432600,information systems,25
yes,6,Dana Indra Sensuse,53264793000,e-government,23
yes,9,Achmad Nizar Hidayanto,57205093001,indonesia,22
yes,8,Adila Alfa Krisnadhi,23467371600,semantic web,20
no,32,Pascal Hitzler,8876646400,semantic web,18
yes,18,Wisnu Jatmiko,8568432600,computer science,17
yes,9,Harry Budi Santoso,55396730800,e-learning,17
no,3,Elin Cahyaningsih,56595080500,knowledge management,17
yes,18,Wisnu Jatmiko,8568432600,particle swarm optimization (pso),15
yes,10,Petrus Mursanto,24176993000,information systems,14
yes,7,Zainal A.Hasibuan,57203922071,e-learning,14
yes,8,Adila Alfa Krisnadhi,23467371600,ontology,14
yes,18,Wisnu Jatmiko,8568432600,vector quantization,13
yes,9,Achmad Nizar Hidayanto,57205093001,social media,13
yes,18,Wisnu Jatmiko,8568432600,algorithms,13
yes,6,Dana Indra Sensuse,53264793000,systematic literature review,12
yes,7,Putu Wuri Handayani,37013424100,indonesia,12
yes,7,Mirna Adriani,35611399700,linguistics,12
yes,10,Aniati Murni Arymurthy,36815724000,information systems,12
yes,7,Mirna Adriani,35611399700,information retrieval,12
yes,10,Petrus Mursanto,24176993000,computer science,11
yes,18,Wisnu Jatmiko,8568432600,big data,11
yes,8,Ari Saptawijaya,15064729000,logic programming,11
yes,10,M. Ivan Fanany,6505757323,deep learning,11
yes,4,Muhammad Rifki Shihab,56363073800,pls,11
yes,9,Achmad Nizar Hidayanto,57205093001,trust,11
yes,8,Adila Alfa Krisnadhi,23467371600,description logic,10
yes,10,Aniati Murni Arymurthy,36815724000,computer science,10
yes,9,Achmad Nizar Hidayanto,57205093001,sem,10
no,32,Pascal Hitzler,8876646400,ontology,10
no,10,Benyamin Kusumoputro,11840021200,neural networks,10
yes,9,Achmad Nizar Hidayanto,57205093001,service quality,9
yes,18,Wisnu Jatmiko,8568432600,generalized learning vector quantization,9
yes,6,Puspa Indahati Sandhyaduhita,56118787200,indonesia,9
no,32,Pascal Hitzler,8876646400,description logic,9
yes,18,Wisnu Jatmiko,8568432600,neural networks,9
yes,4,Muhammad Rifki Shihab,56363073800,sem,9
no,32,Pascal Hitzler,8876646400,birds,9
yes,8,Ari Saptawijaya,15064729000,artificial intelligence,9
yes,8,Adila Alfa Krisnadhi,23467371600,ontology design,9
yes,7,Indra Budi,14021131100,information systems,9
no,24,L. M. Pereira,7201962404,logic programming,9
yes,8,Adila Alfa Krisnadhi,23467371600,birds,9
yes,7,Mirna Adriani,35611399700,query expansion,9
no,3,Agus Widodo,36816515600,time series,8
yes,9,Achmad Nizar Hidayanto,57205093001,learning,8
yes,7,Bayu Anggorojati,36991829400,access control,8
yes,5,Wahyu Catur Wibowo,56126778500,knowledge management,8
yes,18,Wisnu Jatmiko,8568432600,optimization,8
yes,18,Wisnu Jatmiko,8568432600,electrocardiography,8
no,2,Handrie Noprisson,57189267265,systematic literature review,8
no,20,Neeli Rashmi Prasad,7202700545,access control,8
yes,7,Indra Budi,14021131100,time series,8
yes,9,Harry Budi Santoso,55396730800,metacognition,8
no,45,Ramjee Venkatesha Prasad,7402378359,access control,8
no,32,Pascal Hitzler,8876646400,ontology design,8
yes,18,Wisnu Jatmiko,8568432600,social sciences,8
yes,9,Harry Budi Santoso,55396730800,self-regulated learning,8
yes,7,Mirna Adriani,35611399700,translation (languages),8
yes,9,Achmad Nizar Hidayanto,57205093001,systematic literature review,8
yes,7,Mirna Adriani,35611399700,cross-language information retrieval,8
no,9,Michelle Cheatham,13806682500,semantic web,8
yes,7,Mirna Adriani,35611399700,cross-language evaluation forums,8
no,7,Oenardi Lawanto,23094683400,self-regulated learning,8
yes,7,Mirna Adriani,35611399700,computational linguistics,8
yes,9,Achmad Nizar Hidayanto,57205093001,ahp,8
yes,9,Achmad Nizar Hidayanto,57205093001,pls,8
yes,7,Mirna Adriani,35611399700,natural language processing systems,8
no,5,Uky Yudatama,57053392900,it governance,7
yes,10,M. Ivan Fanany,6505757323,learning systems,7
yes,10,M. Ivan Fanany,6505757323,information systems,7
yes,7,Indra Budi,14021131100,forecasting,7
yes,7,Mirna Adriani,35611399700,sentiment analysis,7
yes,6,Dana Indra Sensuse,53264793000,information systems,7
yes,7,Bayu Anggorojati,36991829400,iot,7
no,3,Agus Widodo,36816515600,forecasting,7
yes,9,Harry Budi Santoso,55396730800,interaction design,7
yes,7,Mirna Adriani,35611399700,digital libraries,7
yes,7,Zainal A.Hasibuan,57203922071,e-business,7
yes,9,Harry Budi Santoso,55396730800,user experience,7
no,24,L. M. Pereira,7201962404,artificial intelligence,7
yes,7,Zainal A.Hasibuan,57203922071,smes,7
yes,6,Bobby Achirul Awal Nazief,6508196587,it governance,7
yes,6,Dana Indra Sensuse,53264793000,content analysis,7
yes,10,M. Ivan Fanany,6505757323,classification,7
yes,6,Dana Indra Sensuse,53264793000,knowledge management system,7
yes,9,Achmad Nizar Hidayanto,57205093001,analytic hierarchy process,7
yes,9,Achmad Nizar Hidayanto,57205093001,it governance,7
yes,9,Achmad Nizar Hidayanto,57205093001,information quality,7
no,5,Arief Ramadhan,53264599300,e-government,7
yes,6,Yudho Giri Sucahyo,6507465058,knowledge management,7
yes,18,Wisnu Jatmiko,8568432600,feature extraction,7
yes,1,Fatimah Azzahro,57194160083,indonesia,7
yes,8,Adila Alfa Krisnadhi,23467371600,data description,7
yes,6,Yudho Giri Sucahyo,6507465058,information security,7
no,7,Oenardi Lawanto,23094683400,metacognition,7
yes,9,Achmad Nizar Hidayanto,57205093001,hospital information system,7
yes,18,Wisnu Jatmiko,8568432600,security of data,7
yes,7,Mirna Adriani,35611399700,information systems,7
yes,7,Mirna Adriani,35611399700,learning systems,7
yes,7,Mirna Adriani,35611399700,twitter,7
yes,18,Wisnu Jatmiko,8568432600,odor source localization,7
no,30,Krzysztof Janowicz,13610913700,semantic web,7
yes,6,Dana Indra Sensuse,53264793000,government human capital management,6
yes,8,Adila Alfa Krisnadhi,23467371600,web ontology language,6
no,58,Toshino Fukuda,36037263500,odor source localization,6
no,58,Toshino Fukuda,36037263500,particle swarm optimization (pso),6
no,6,Elly Matul Imah,54973804500,vector quantization,6
yes,7,Zainal A.Hasibuan,57203922071,adoption,6
yes,7,Zainal A.Hasibuan,57203922071,cloud computing,6
yes,9,Harry Budi Santoso,55396730800,usability evaluation,6
yes,7,Indra Budi,14021131100,machine learning,6
yes,7,Mirna Adriani,35611399700,machine translations,6
yes,7,Bayu Anggorojati,36991829400,m2m,6
yes,6,Dana Indra Sensuse,53264793000,knowledge,6
yes,7,Mirna Adriani,35611399700,machine translation,6
no,3,Elin Cahyaningsih,56595080500,government human capital management,6
yes,7,Mirna Adriani,35611399700,query expansion techniques,6
no,3,Elin Cahyaningsih,56595080500,content analysis,6
yes,10,M. Ivan Fanany,6505757323,algorithms,6
yes,10,M. Ivan Fanany,6505757323,neural networks,6
yes,7,Mirna Adriani,35611399700,artificial intelligence,6
yes,10,M. Ivan Fanany,6505757323,neural network,6
yes,6,Yudho Giri Sucahyo,6507465058,data mining,6
yes,6,Yudho Giri Sucahyo,6507465058,e-government,6
yes,10,Aniati Murni Arymurthy,36815724000,indonesia,6
yes,4,Muhammad Rifki Shihab,56363073800,tam,6
no,32,Pascal Hitzler,8876646400,web ontology language,6
no,32,Pascal Hitzler,8876646400,data description,6
yes,18,Wisnu Jatmiko,8568432600,sensors,6
yes,18,Wisnu Jatmiko,8568432600,vehicle detection,6
yes,18,Wisnu Jatmiko,8568432600,mobile robots,6
no,20,Neeli Rashmi Prasad,7202700545,m2m,6
no,20,Neeli Rashmi Prasad,7202700545,capability,6
no,10,Benyamin Kusumoputro,11840021200,pattern recognition,6
yes,7,Ari Wibisono,55625531300,big data,6
yes,7,Ari Wibisono,55625531300,information systems,6
no,4,undefined Meyliana,57203859161,systematic literature review,6
yes,6,Dana Indra Sensuse,53264793000,ontology,6
yes,7,Bayu Anggorojati,36991829400,capability,6
no,7,Raj P. Gopalan,7005493679,data mining,6
yes,6,Dana Indra Sensuse,53264793000,critical success factors,6
no,45,Ramjee Venkatesha Prasad,7402378359,capability,6
yes,7,Putu Wuri Handayani,37013424100,trust,6
yes,9,Achmad Nizar Hidayanto,57205093001,information technology,6
yes,9,Achmad Nizar Hidayanto,57205093001,erp,6
yes,9,Achmad Nizar Hidayanto,57205093001,innovation,6
yes,9,Harry Budi Santoso,55396730800,learning systems,6
yes,9,Achmad Nizar Hidayanto,57205093001,e-commerce,6
yes,3,Betty Purwandari,56716397400,sem,6
no,18,Kousuke Sekiyama,7005646496,particle swarm optimization (pso),6
no,3,Muhammad Iqbal Tawakal,55014602700,information systems,6
no,3,Muhammad Iqbal Tawakal,55014602700,computer science,6
no,2,Wina Permana Sari,57189256951,content analysis,5
yes,9,Achmad Nizar Hidayanto,57205093001,tam,5
no,45,Ramjee Venkatesha Prasad,7402378359,iot,5
yes,8,Ari Saptawijaya,15064729000,lethal autonomous,5
yes,18,Wisnu Jatmiko,8568432600,vehicles,5
no,45,Ramjee Venkatesha Prasad,7402378359,m2m,5
yes,6,Yudho Giri Sucahyo,6507465058,algorithms,5
yes,7,Zainal A.Hasibuan,57203922071,framework,5
yes,18,Wisnu Jatmiko,8568432600,principal component analysis,5
yes,10,Petrus Mursanto,24176993000,fpga,5
no,18,Kousuke Sekiyama,7005646496,odor source localization,5
yes,10,M. Ivan Fanany,6505757323,image reconstruction,5
no,20,Neeli Rashmi Prasad,7202700545,iot,5
yes,7,Putu Wuri Handayani,37013424100,hospital information system,5
yes,7,Indra Budi,14021131100,sentiment analysis,5
yes,9,Achmad Nizar Hidayanto,57205093001,higher education,5
yes,7,Indra Budi,14021131100,twitter,5
no,7,Oenardi Lawanto,23094683400,engineering design,5
yes,18,Wisnu Jatmiko,8568432600,semantic segmentation,5
no,7,Oenardi Lawanto,23094683400,enhanced guided notes,5
no,1,Pudy Prima,57201990089,knowledge management,5
yes,10,Aniati Murni Arymurthy,36815724000,e-government,5
yes,18,Wisnu Jatmiko,8568432600,classification (of information),5
yes,8,Ari Saptawijaya,15064729000,robots,5
yes,7,T. Basaruddin,9334901600,emotion recognition,5
yes,9,Achmad Nizar Hidayanto,57205093001,structural equation modeling,5
yes,6,Dana Indra Sensuse,53264793000,systematic review,5
yes,7,Zainal A.Hasibuan,57203922071,learning systems,5
yes,6,Alfan Farizki Wicaksono,55522888300,sentiment analysis,5
yes,5,Wahyu Catur Wibowo,56126778500,government human capital management,5
yes,9,Achmad Nizar Hidayanto,57205093001,knowledge sharing,5
no,2,Arfive Gandhi,57188979780,information security,5
yes,18,Wisnu Jatmiko,8568432600,traffic congestion,5
yes,6,Puspa Indahati Sandhyaduhita,56118787200,ahp,5
no,7,Adi Nurhadiyatna,55625635400,information systems,5
no,7,Adi Nurhadiyatna,55625635400,computer science,5
no,3,Dewa Made Sri Arsa,57193834508,big data,5
