funding,keyword,sum_paper
Hibah PITTA - Universitas Indonesia,e-government,8
Hibah PITTA - Universitas Indonesia,knowledge management,8
Hibah PITTA - Universitas Indonesia,social media,7
Hibah PITTA - Universitas Indonesia,indonesia,7
Hibah PITTA - Universitas Indonesia,e-commerce,7
Hibah PITTA - Universitas Indonesia,information use,7
Hibah PITTA - Universitas Indonesia,information systems,7
Hibah PITTA - Universitas Indonesia,machine learning,6
Hibah PITTA - Universitas Indonesia,deep learning,6
Hibah PITTA - Universitas Indonesia,sem,6
Hibah PITTA - Universitas Indonesia,e-learning,5
The National Science Foundation,birds,5
Hibah PITTA - Universitas Indonesia,big data,5
Hibah PITTA - Universitas Indonesia,master data management,4
The National Science Foundation,data description,4
Hibah PITTA - Universitas Indonesia,e-participation,4
Hibah PITTA - Universitas Indonesia,pls,4
Hibah PITTA - Universitas Indonesia,twitter,4
The National Science Foundation,description logic,4
Hibah PITTA - Universitas Indonesia,sentiment analysis,4
Hibah PIT9 - Universitas Indonesia,trust,4
Hibah PITTA - Universitas Indonesia,learning systems,4
Hibah PITTA - Universitas Indonesia,ontology,4
Hibah PITTA - Universitas Indonesia,instagram,4
Hibah PITTA - Universitas Indonesia,online transportation,4
Hibah PITTA - Universitas Indonesia,information security,3
GPU Grant - NVIDIA,speech recognition,3
Hibah PITTA - Universitas Indonesia,knowledge sharing,3
Fundação para a Ciência e a Tecnologia,logic programming,3
Hibah PITTA - Universitas Indonesia,analytic hierarchy process (ahp),3
Hibah PITTA - Universitas Indonesia,md3m,3
Hibah PITTA - Universitas Indonesia,information sharing,3
Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,pap smear images,3
Hibah PITTA - Universitas Indonesia,entropy,3
Hibah PITTA - Universitas Indonesia,knowledge management system,3
Seek.com,job search,3
The Directorate General of Higher Education (DGHE) of Indonesia,security system,3
Hibah PITTA - Universitas Indonesia,speech recognition,3
Hibah PITTA - Universitas Indonesia,purchase intention,3
Hibah PITTA - Universitas Indonesia,ahp,3
The Australian Research Council,job search,3
Hibah PIT9 - Universitas Indonesia,indonesia,3
Hibah PITTA - Universitas Indonesia,service quality,3
The National Science Foundation,plug-ins,3
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,hospital,3
Hibah PITTA - Universitas Indonesia,pls-sem,3
Hibah PITTA - Universitas Indonesia,tam,3
Hibah PITTA - Universitas Indonesia,trust,3
GPU Grant - NVIDIA,deep learning,3
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,hospital information system,2
European Union Funding,galos field,2
Seek.com,evaluation,2
Hibah PITTA - Universitas Indonesia,software product line (spl),2
Hibah PITTA - Universitas Indonesia,learning objectives,2
Hibah PITTA - Universitas Indonesia,information credibility,2
Hibah PITTA - Universitas Indonesia,software development process,2
The UK EPSRC Grant,computational linguistics,2
Hibah PITTA - Universitas Indonesia,m-commerce,2
The National Science Foundation,ontology,2
The National Science Foundation,semantic web,2
Czech Ministry of Industry and Trade,wind turbine,2
Czech Ministry of Industry and Trade,reflection,2
University of Edinburgh,computational linguistics,2
Seek.com,user model,2
European Union Funding,fpga,2
Hibah PITTA - Universitas Indonesia,knowledge base,2
Hibah PIT9 - Universitas Indonesia,social media,2
Hibah PITTA - Universitas Indonesia,amos,2
LPDP - Ministry of Finance Republic of Indonesia,long short-term memory,2
Hibah PITTA - Universitas Indonesia,dmbok,2
Hibah PIT9 - Universitas Indonesia,e-commerce,2
Hibah PITTA - Universitas Indonesia,customer satisfaction,2
Hibah PITTA - Universitas Indonesia,prisma,2
Hibah PITTA - Universitas Indonesia,automatic question answering,2
Hibah PIT9 - Universitas Indonesia,maturity level,2
LPDP - Ministry of Finance Republic of Indonesia,computational linguistics,2
Hibah PITTA - Universitas Indonesia,ocai,2
Hibah PIT9 - Universitas Indonesia,instagram,2
Hibah PITTA - Universitas Indonesia,behavioral intention,2
Hibah PITTA - Universitas Indonesia,computer circuits,2
Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,inflammatory cells,2
Czech Ministry of Industry and Trade,radar cross section,2
Czech Ministry of Industry and Trade,primary radar system,2
The National Science Foundation,formal languages,2
The National Science Foundation,rule based,2
Hibah PITTA - Universitas Indonesia,probabilistic reasoning,2
Hibah PITTA - Universitas Indonesia,logical reasoning,2
Hibah PITTA - Universitas Indonesia,customer knowledge management,2
Hibah PITTA - Universitas Indonesia,intention to participate,2
Hibah PITTA - Universitas Indonesia,tpb,2
The National Science Foundation,logical statements,2
The National Science Foundation,theoretical development,2
The National Science Foundation,interchange formats,2
The Australian Research Council,evaluation,2
The National Science Foundation,memory architecture,2
Hibah PITTA - Universitas Indonesia,mobile learning,2
The Australian Research Council,user model,2
Hibah PITTA - Universitas Indonesia,proof of concept,2
The Australian Research Council,word-based model,2
Hibah PITTA - Universitas Indonesia,prolog (programming language),2
The National Science Foundation,web ontology language,2
Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,k-means,2
Hibah PITTA - Universitas Indonesia,scientometrics,2
University of Pardubice,radar cross section,2
Czech Ministry of Industry and Trade,power plant,2
Hibah PITTA - Universitas Indonesia,thematic analysis,2
Czech Ministry of Industry and Trade,clutter,2
The National Science Foundation,logic programming,2
The National Science Foundation,data integration,2
University of Pardubice,wind turbine,2
University of Pardubice,reflection,2
University of Pardubice,primary radar system,2
LPDP - Ministry of Finance Republic of Indonesia,non-factoid queries,2
University of Pardubice,power plant,2
Hibah PITTA - Universitas Indonesia,word segmentation,2
University of Pardubice,clutter,2
PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,acceptance factor,2
Hibah PITTA - Universitas Indonesia,speech,2
Hibah PITTA - Universitas Indonesia,structural fatigue,2
Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,cervical cancer,2
Hibah PITTA - Universitas Indonesia,social cognitive theory,2
The Australian Research Council,non-factoid queries,2
Hibah PITTA - Universitas Indonesia,mobile payment,2
Fulbright Indonesia Presidential Scholarship PhD Grant,interchange formats,2
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,bidirectional long short-term memory,2
Hibah PITTA - Universitas Indonesia,conditional random field,2
GPU Grant - NVIDIA,polysomnography,2
GPU Grant - NVIDIA,bidirectional long short-term memory,2
Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,polysomnography,2
Hibah PITTA - Universitas Indonesia,natural language processing,2
Hibah PITTA - Universitas Indonesia,indonesian languages,2
Hibah PITTA - Universitas Indonesia,maturity level,2
Hibah PITTA - Universitas Indonesia,user acceptance,2
Hibah PITTA - Universitas Indonesia,convolutional neural network,2
Hibah PITTA - Universitas Indonesia,text mining,2
