,"Ministry of Science and Technology, Taiwan, ROC (Republic of China)",LPDP-BUDI DN,Hibah PITTA - Universitas Indonesia,PDUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,Hibah PIT9 - Universitas Indonesia,Universitas Pasundan,Post Doctoral Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,PUPT Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,Faculty of Computer Science - Universitas Indonesia,Multi-discipline Research Grant - Universitas Indonesia,Reliable Software Engineering (RSE) Laboratory - Universitas Indonesia,The Dayton Area Graduate Studies Institute (DAGSI),The Air Force Office of Scientific Research,The U.S. National Science Foundation’s EarthCube,The National Science Foundation,The German Research Foundation (DFG),Fulbright Indonesia Presidential Scholarship PhD Grant,Fundação para a Ciência e a Tecnologia,The Directorate General of Higher Education (DGHE) of Indonesia,Samsung R&D Institute Indonesia (SRIN),The Australian Research Council,Seek.com,SIGIR,University of Melbourne Google-funded travel grants,The National Innovation System Research Incentive Program (INSINAS) - Ministry of Research Technology and Higher Education Republic of Indonesia,Center of Excellence for Higher Education Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,GPU Grant - NVIDIA,LPDP - Ministry of Finance Republic of Indonesia,PDD Research Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,"Sandwich-Like Program - Directorate General Higher Education, Ministry of Education and Cultural Indonesia",Diponegoro University,European Space Agency,Hibah Q1Q2 - Universitas Indonesia,Hibah Riset Awal -  Universitas Indonesia and Directorate of Higher Education MP3EI,The United States Agency for International Development (USAID),The National Aeronautics and Space Administration (NASA),Apple Computer and the Digital Equipment Corporation External Research Program,AT&T Intel Scientific Computers and the Digital Equipment Corporation External Research Program,The UK EPSRC Grant,University of Edinburgh,"The Center for Research and Development of Postal and Information Technology Resources, Equipment and Services","The Center for Research and Development of Application Informatics, Ministry of Communication and Informatics, Republics of Indonesia","The Scientific Modeling, Application, Research and Training for City-centered Innovation and Technology (SMART CITY) Project - Universitas Indonesia",PTUPT Grant - Ministry of Research Technology and Higher Education Republic of Indonesia,The Free University of Bozen-Bolzano,University of Pardubice,Czech Ministry of Industry and Trade,The National Institute of Information and Communications Technology (NICT) of Japan,The Singapore National Research Foundation,"I-MHERE Project - Faculty of Computer Science, Universitas Indonesia",World Bank Group,"Directorate General Higher Education, Ministry of Education and Cultural Indonesia",European Union Funding,"PEKERTI Grant - Directorate General Higher Education, Ministry of Education and Cultural Indonesia","QUE Project - Faculty of Computer Science, Universitas Indonesia",PhD scholarship - Fondazione Bruno Kessler,Allen Institute for Artificial Intelligence,"Research and Technology Transfer office (RTTO), Bina Nusantara University",MCIT Republic of Indonesia,KOICA Republic of Korea
information systems,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computer science,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indonesia,0,0,7,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge management,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
e-government,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artificial intelligence,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e-learning,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ontology,0,0,4,0,0,0,0,0,0,0,1,1,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
learning systems,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
