couple_1,couple_2,sum_paper
information systems,computer science,59
information systems,indonesia,6
information systems,knowledge management,3
information systems,e-government,2
information systems,artificial intelligence,4
information systems,e-learning,2
information systems,ontology,1
information systems,algorithms,13
information systems,learning systems,7
information systems,deep learning,3
information systems,data mining,3
information systems,neural networks,4
information systems,information retrieval,1
information systems,security of data,1
information systems,feature extraction,4
information systems,semantics,5
information systems,vector quantization,9
information systems,particle swarm optimization (pso),2
information systems,sentiment analysis,1
information systems,information use,13
information systems,optimization,3
information systems,computer simulation,2
information systems,cloud computing,1
information systems,logic programming,2
information systems,classification (of information),4
information systems,computational linguistics,1
information systems,service quality,1
information systems,linguistics,1
information systems,access control,1
information systems,natural language processing systems,1
information systems,time series,3
information systems,robots,2
information systems,generalized learning vector quantization,7
information systems,data integration,1
information systems,birds,1
information systems,translation (languages),2
information systems,entropy,1
information systems,information technology,1
information systems,social networking (online),3
information systems,information management,2
information systems,conditional random field,3
information systems,electrocardiography,5
information systems,knowledge management system,1
information systems,surveys,2
information systems,data handling,1
information systems,principal component analysis,2
information systems,decision trees,3
information systems,research,5
information systems,forecasting,3
information systems,metacognition,1
information systems,self-regulated learning,1
information systems,indonesian languages,3
information systems,speech recognition,3
information systems,critical success factor,1
information systems,websites,1
information systems,enterprise resource planning,2
information systems,graphic methods,2
information systems,text mining,1
information systems,support vector machines,3
information systems,image segmentation,4
information systems,government data processing,3
information systems,extreme learning machine,2
information systems,sensors,1
information systems,structural equation modeling,1
information systems,latent dirichlet allocation,1
information systems,machine translations,2
information systems,software product line,3
information systems,decision making,2
information systems,text processing,1
information systems,vehicle detection,1
information systems,association rules,1
information systems,analytical hierarchy process,1
information systems,k-means,1
information systems,business process model,2
information systems,industry,3
information systems,project management,1
information systems,rule based,1
information systems,modeling languages,3
information systems,software design,3
information systems,computer software,3
information systems,reverse engineering,2
information systems,traffic congestion,2
information systems,computational complexity,1
information systems,digital storage,1
information systems,long short-term memory,1
information systems,diseases,2
information systems,imbalanced data,1
information systems,scheduling,1
information systems,state of the art,3
information systems,computation theory,1
information systems,knowledge acquisition,1
information systems,vehicles,2
information systems,cluster analysis,1
information systems,fuzzy logic,2
information systems,image processing,1
information systems,design,3
information systems,semantic segmentation,2
information systems,image reconstruction,1
information systems,learning vector quantization,1
information systems,ellipse detection,2
information systems,indonesians,1
information systems,swot analysis,1
information systems,human resource management,1
information systems,quality control,1
information systems,computer aided language translation,1
information systems,parallel corpora,1
information systems,network routing,1
information systems,geographic information systems,2
information systems,jakarta,1
information systems,computers,3
information systems,machine learning approaches,1
information systems,affective computing,1
information systems,human computer interaction,1
information systems,random processes,3
information systems,evolutionary algorithms,2
information systems,e-governments,1
information systems,feature extraction methods,2
information systems,gaussian mixture model,3
information systems,object recognition,2
information systems,data sets,2
information systems,ecg signals,3
information systems,k-means clustering,1
information systems,teaching,1
information systems,philosophical aspects,1
information systems,statistics,1
information systems,geometry,2
information systems,hardware,2
information systems,forestry,4
information systems,literature studies,2
information systems,knowledge management process,1
information systems,learning contents,1
information systems,personalizations,1
information systems,similarity measure,1
information systems,sleep research,2
information systems,hough transforms,1
information systems,feature extraction and classification,2
information systems,classification system,3
information systems,sales,1
information systems,commerce,1
information systems,small and medium enterprise,2
information systems,social networks,1
information systems,information theory,1
information systems,speech transmission,1
information systems,organizational performance,1
information systems,software product line (spl),2
information systems,behavioral specification,3
information systems,monte carlo methods,1
information systems,real-world,1
information systems,knowledge engineering,1
information systems,decision support systems,1
information systems,linked datum,1
information systems,world wide web,1
information systems,traffic jams,1
information systems,naive bayes,1
information systems,recurrent neural networks,1
information systems,location,1
information systems,polysomnography,1
information systems,gesture recognition,1
information systems,pixels,1
information systems,precision and recall,1
information systems,cross validation,1
information systems,feature extraction and selection,1
information systems,number of clusters,1
information systems,knowledge based systems,1
information systems,computer circuits,2
information systems,carbon dioxide,1
information systems,monitoring,1
information systems,sensor nodes,1
information systems,wireless sensor networks,1
information systems,monitoring system,1
information systems,euclidean distance,2
information systems,fuzzy systems,2
information systems,genetic algorithms,2
information systems,multiple kernel learning,1
information systems,time series forecasting,2
information systems,time-series data,2
information systems,scrum,1
information systems,intelligent buildings,1
information systems,automation,1
information systems,open dynamics engines,1
information systems,communication,1
information systems,telecommunication networks,1
information systems,speech analysis,1
information systems,character level,1
information systems,knowledge mapping,1
information systems,markov processes,1
information systems,interoperability,1
information systems,competition,1
information systems,partial least square (pls),1
information systems,enterprise resource planning (erp),1
information systems,adaptive learning,1
information systems,signal processing,1
information systems,text classification,1
information systems,marketing,2
information systems,non-parametric,2
information systems,training and testing,2
information systems,data preprocessing,2
information systems,sleep stage,2
information systems,question answering task,1
information systems,association rules mining,1
information systems,sleep stages classifications,2
information systems,speech,2
information systems,visual tracking,1
information systems,classification results,1
information systems,hierarchical systems,1
information systems,image retrieval,1
information systems,fetal monitoring,1
information systems,fetal head,1
information systems,codebooks,2
information systems,clustering algorithms,1
information systems,ultrasound images,1
information systems,ultrasonic applications,1
information systems,control systems,2
information systems,human bodies,1
information systems,heart beats,1
information systems,vectors,1
information systems,training process,1
information systems,facebook,1
information systems,consumer behavior,1
information systems,linguistic knowledge,1
information systems,impact analysis,1
information systems,antecedent factors,1
information systems,utilization model,1
information systems,information system development,1
information systems,constraint satisfaction problems,2
information systems,feature combination,1
information systems,character recognition,1
information systems,binary classification,2
information systems,recurrent neural network (rnns),1
information systems,sentence classifications,1
information systems,computational model,1
information systems,e-learning application,1
information systems,opinion mining,1
information systems,directed acyclic graph (dag),1
information systems,remote sensing technology,1
information systems,image resolution,1
information systems,cross correlations,1
information systems,socio-economic factor,1
information systems,human sperm,1
information systems,convolutional neural networks (cnn),1
information systems,computation time,1
information systems,edge detection,1
information systems,three dimensional,2
information systems,complex background,2
information systems,pattern matching,1
information systems,feature descriptors,2
information systems,cellular automata,1
information systems,medical imaging,1
information systems,diagnosis,1
information systems,canny edge detection,1
information systems,classification accuracy,1
information systems,cultural heritages,2
information systems,performance comparison,1
information systems,musculoskeletal system,2
information systems,distribution functions,1
information systems,performance analysis,1
information systems,e-government systems,1
information systems,social interactions,2
information systems,soft systems methodology,1
information systems,prolog (programming language),1
information systems,proof of concept,1
