affiliation_id,complete_affiliation,sum_people,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code
110895154,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",240,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424
112067453,"Research Center for Informatics, Jakarta, Java, Indonesia",11,Research Center for Informatics,,Jakarta,Java,Indonesia,
60027709,"National Taiwan University of Science and Technology, 43 Keelung Road Section 4, Taipei, Taiwan, 106",2,National Taiwan University of Science and Technology,43 Keelung Road Section 4,Taipei,,Taiwan,106
109974865,"Department of Information Management, No.396, Sec. 1, Changrong Rd., Gueiren Dist., Tainan, Taiwan, 71101",1,Department of Information Management,"No.396, Sec. 1, Changrong Rd., Gueiren Dist.",Tainan,,Taiwan,71101
60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",467,Universitas Indonesia,,Depok,Java,Indonesia,16424
60021944,"Kasetsart University, 50 Phahonyothin Road, Bangkok, Thailand",2,Kasetsart University,50 Phahonyothin Road,Bangkok,,Thailand,
122930424,"Informatics Department, Jln. Tamansari No. 6-8, Bandung, West Java, Indonesia, 40154",1,Informatics Department,Jln. Tamansari No. 6-8,Bandung,West Java,Indonesia,40154
60105015,"Universitas Langlangbuana, Jalan Karapitan No.116, Bandung, Indonesia, 40261",1,Universitas Langlangbuana,Jalan Karapitan No.116,Bandung,,Indonesia,40261
60109077,"Universitas Pembangunan Nasional Veteran Jakarta, Jl. Rs. Fatmawati, Pondok Labu, Jakarta, Indonesia, 12450",1,Universitas Pembangunan Nasional Veteran Jakarta,"Jl. Rs. Fatmawati, Pondok Labu",Jakarta,,Indonesia,12450
118736414,"STMIK Palangkaraya, Palangkaraya, Kalimantan Tengah, Indonesia, 74874",1,STMIK Palangkaraya,"Palangkaraya, Kalimantan Tengah",,,Indonesia,74874
118495196,"STMIK Bina Insani, Bekasi, Jakarta, West Java, Indonesia",2,STMIK Bina Insani,Bekasi,Jakarta,West Java,Indonesia,
60111846,"Universitas Bina Darma, Jl. Jenderal A. Yani No. 3, Palembang, South Sumatra, Indonesia",1,Universitas Bina Darma,Jl. Jenderal A. Yani No. 3,Palembang,South Sumatra,Indonesia,
119205554,"Fakultas Ilmu Komputer, Depok, Java, Indonesia, 16424",7,Fakultas Ilmu Komputer,,Depok,Java,Indonesia,16424
60107865,"STMIK Nusa Mandiri, Jakarta, Indonesia",6,STMIK Nusa Mandiri,,Jakarta,,Indonesia,
113185784,"Department of Industrial Engineering and Management, PO Box 8000, Oulu, Finland, 90014",2,Department of Industrial Engineering and Management,PO Box 8000,Oulu,,Finland,90014
103398586,"Department of Production, PO Box 700, Vaasa, Finland, 65101",1,Department of Production,PO Box 700,Vaasa,,Finland,65101
114292120,"Department of Information Systems, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",9,Department of Information Systems,"Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
123304129,"Computer Siene Department, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",1,Computer Siene Department,"Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
122253065,"Information System Department, STMIK Insan Pembangunan, Tangerang, Tangerang, Indonesia, 15810",1,Information System Department,"STMIK Insan Pembangunan, Tangerang",Tangerang,,Indonesia,15810
113730915,"Department of Computer Science, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",11,Department of Computer Science,"Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
60103610,"Bina Nusantara University, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",17,Bina Nusantara University,"Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
60113340,"Universitas Buana Perjuangan Karawang, Jl. HS Ronggowaluyo Telukjambe Timur, Karawang, West Java, Indonesia, 41361",1,Universitas Buana Perjuangan Karawang,Jl. HS Ronggowaluyo Telukjambe Timur,Karawang,West Java,Indonesia,41361
112837444,"Department of Computer Science, Depok, Java, Indonesia, 16424",5,Department of Computer Science,,Depok,Java,Indonesia,16424
122246043,"Master Program of Communication Studies, Jl. Ir. Sutami 36 A, Surakarta, Central Java, Indonesia",1,Master Program of Communication Studies,Jl. Ir. Sutami 36 A,Surakarta,Central Java,Indonesia,
115807387,"Kampus UI Depok, Depok, Java, Indonesia, 16424",18,Kampus UI Depok,,Depok,Java,Indonesia,16424
122507729,"Universitas Mulawarman, Barong Tongkok, Gunung Kelua, Indonesia, 75121",1,Universitas Mulawarman,"Barong Tongkok, Gunung Kelua",,,Indonesia,75121
60069411,"Universitas Mulawarman, Jl. Kuaro, Gunung Kelua, Samarinda, East Kalimantan, Indonesia",2,Universitas Mulawarman,"Jl. Kuaro, Gunung Kelua",Samarinda,East Kalimantan,Indonesia,
123349703,"Informatics Engineering Program, Palangka Raya, Indonesia",1,Informatics Engineering Program,Palangka Raya,,,Indonesia,
104757287,"Department of Public Health, Depok, Java, Indonesia, 16424",1,Department of Public Health,,Depok,Java,Indonesia,16424
121035669,"Technology and Higher Education of the Republic of Indonesia, Jakarta, Java, Indonesia",1,Technology and Higher Education of the Republic of Indonesia,,Jakarta,Java,Indonesia,
122423939,"AMIK BSI Bekasi, West-Java, Indonesia",1,AMIK BSI Bekasi,West-Java,,,Indonesia,
120017344,"Department of Management, Jalan Dr. T. Mansur No. 9, Kampus Padang Bulan, Medan, North Sumatra, Indonesia, 20155",1,Department of Management,"Jalan Dr. T. Mansur No. 9, Kampus Padang Bulan",Medan,North Sumatra,Indonesia,20155
120049336,"Universitas BSI, Bandung, Indonesia",3,Universitas BSI,,Bandung,,Indonesia,
108173563,"Computer Science Faculty, Depok, Java, Indonesia, 16424",4,Computer Science Faculty,,Depok,Java,Indonesia,16424
121800748,"Department of Informatics Engineering, Jl. Perintis Kemerdekaan I/33, Tangerang Banten, Tangerang, Indonesia, 15117",1,Department of Informatics Engineering,"Jl. Perintis Kemerdekaan I/33, Tangerang Banten",Tangerang,,Indonesia,15117
118334675,"Faculty of Computer Science, STIKOM CKI, Jakarta, West Sulawesi, Indonesia, 11510",2,Faculty of Computer Science,STIKOM CKI,Jakarta,West Sulawesi,Indonesia,11510
121800542,"Regional English Language Office (RELO), United State of America (USA), Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",1,"Regional English Language Office (RELO), United State of America (USA)","Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
121801872,"Major of Informatics Management, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",1,Major of Informatics Management,"Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
115030660,"Department of Information System, Depok, Java, Indonesia, 16424",1,Department of Information System,,Depok,Java,Indonesia,16424
122276664,"Department of Information Technology, Depok, Java, Indonesia, 16424",5,Department of Information Technology,,Depok,Java,Indonesia,16424
118365648,"Department of Computer Science, Jl. Dipati Ukur No 35, Bandung, West Java, Indonesia, 40132",3,Department of Computer Science,Jl. Dipati Ukur No 35,Bandung,West Java,Indonesia,40132
114929020,"Department of Mathematics, Jl. Ketintang, Surabaya, Indonesia, 60231",1,Department of Mathematics,Jl. Ketintang,Surabaya,,Indonesia,60231
122528432,"Artificial Intelligence Department, Premier Optima Sattiga, Jakarta, Indonesia",2,Artificial Intelligence Department,Premier Optima Sattiga,Jakarta,,Indonesia,
60108869,"Universitas Mercu Buana, Jl. Meruya Selatan No.1, Jakarta, Indonesia",4,Universitas Mercu Buana,Jl. Meruya Selatan No.1,Jakarta,,Indonesia,
60069382,"Institut Teknologi Bandung, Jl. Tamansari 64, Bandung, West Java, Indonesia, 40116",6,Institut Teknologi Bandung,Jl. Tamansari 64,Bandung,West Java,Indonesia,40116
112304895,"Department of Biomedical Engineering, Jl. Tamansari 64, Bandung, West Java, Indonesia, 40116",1,Department of Biomedical Engineering,Jl. Tamansari 64,Bandung,West Java,Indonesia,40116
120790202,"Laboratorium Khusus Patologi, Veteran, Bandung, Indonesia",1,Laboratorium Khusus Patologi,Veteran,Bandung,,Indonesia,
121970579,"Universitas, Malang, Malang, West Java, Indonesia, 65144",1,Universitas,Malang,Malang,West Java,Indonesia,65144
123004553,"Digital Library and Distance, Depok, Java, Indonesia, 16424",1,Digital Library and Distance,,Depok,Java,Indonesia,16424
60069397,"Universitas Sumatera Utara, Jalan Dr. T. Mansur No. 9, Kampus Padang Bulan, Medan, North Sumatra, Indonesia, 20155",2,Universitas Sumatera Utara,"Jalan Dr. T. Mansur No. 9, Kampus Padang Bulan",Medan,North Sumatra,Indonesia,20155
120729067,"Computerized Accounting, STMIK GI MDP, Palembang, Palembang, Indonesia",1,Computerized Accounting,"STMIK GI MDP, Palembang",Palembang,,Indonesia,
110489126,"Department of Industrial Engineering, 50 Phahonyothin Road, Bangkok, Thailand",1,Department of Industrial Engineering,50 Phahonyothin Road,Bangkok,,Thailand,
120995963,"PT Telekomunikasi Indonesia, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",1,PT Telekomunikasi Indonesia,"Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
120994895,"Universitas Katolik Widya Mandira, Kupang, Indonesia",1,Universitas Katolik Widya Mandira,Kupang,,,Indonesia,
60069400,"Universitas Trisakti, Jakarta, Java, Indonesia",1,Universitas Trisakti,,Jakarta,Java,Indonesia,
