id_scopus,h_index,indexed_name,given_name,surname,full_name,current_affiliation_id,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code,dosen_fasilkom,sum_paper,lower_full_name
57188833403,1,Abka A.F.,Achmad Fatchuttamam,Abka,Achmad Fatchuttamam Abka,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,5,achmad fatchuttamam abka
57205093001,9,Hidayanto A.N.,Achmad Nizar,Hidayanto,Achmad Nizar Hidayanto,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,189,achmad nizar hidayanto
56118787200,6,Sandhyaduhita P.I.,Puspa Indahati,Sandhyaduhita,Puspa Indahati Sandhyaduhita,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,44,puspa indahati sandhyaduhita
6508196587,6,Nazief B.A.A.,Bobby Achirul Awal,Nazief,Bobby Achirul Awal Nazief,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,26,bobby achirul awal nazief
55885685300,3,Hapsari I.C.,Ika Chandra,Hapsari,Ika Chandra Hapsari,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,11,ika chandra hapsari
56119154900,2,Ruldeviyani Y.,Yova,Ruldeviyani,Yova Ruldeviyani,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,27,yova ruldeviyani
56521579100,4,Budi N.F.A.,Nur Fitriah Ayuning,Budi,Nur Fitriah Ayuning Budi,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,24,nur fitriah ayuning budi
57193701425,2,Fitriani W.R.,Widia Resti,Fitriani,Widia Resti Fitriani,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,10,widia resti fitriani
57211059390,0,Samik-Ibrahim R.M.,Rahmat M.,Samik-Ibrahim,Rahmat Mustafa Samik-Ibrahim,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,2,rahmat mustafa samik ibrahim
37013424100,7,Handayani P.W.,Putu Wuri,Handayani,Putu Wuri Handayani,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,64,putu wuri handayani
57188985405,2,Yudhoatmojo S.B.,Satrio Baskoro,Yudhoatmojo,Satrio Baskoro Yudhoatmojo,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,15,satrio baskoro yudhoatmojo
56126778500,5,Wibowo W.,Wahyu Catur,Wibowo,Wahyu Catur Wibowo,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,37,wahyu catur wibowo
56716397400,3,Purwandari B.,Betty,Purwandari,Betty Purwandari,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,38,betty purwandari
57194160083,1,Azzahro F.,Fatimah,Azzahro,Fatimah Azzahro,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,25,fatimah azzahro
57193834555,2,Nugroho W.S.,Widijanto Satyo,Nugroho,Widijanto Satyo Nugroho,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,7,widijanto satyo nugroho
55014232200,2,Kumaralalita L.,Larastri,Kumaralalita,Larastri Kumaralalita,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,9,larastri kumaralalita
56363073800,4,Shihab M.R.,Muhammad Rifki,Shihab,Muhammad Rifki Shihab,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,49,muhammad rifki shihab
56626063000,3,Pinem A.A.,Ave Adriana,Pinem,Ave Adriana Pinem,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,32,ave adriana pinem
53264793000,6,Sensuse D.I.,Dana Indra,Sensuse,Dana Indra Sensuse,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes,134,dana indra sensuse
