id_scopus,h_index,indexed_name,given_name,surname,full_name,current_affiliation_id,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code,dosen_fasilkom
57188833403,1,Abka A.F.,Achmad Fatchuttamam,Abka,Achmad Fatchuttamam Abka,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57205093001,9,Hidayanto A.N.,Achmad Nizar,Hidayanto,Achmad Nizar Hidayanto,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
56118787200,6,Sandhyaduhita P.I.,Puspa Indahati,Sandhyaduhita,Puspa Indahati Sandhyaduhita,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
6508196587,6,Nazief B.A.A.,Bobby Achirul Awal,Nazief,Bobby Achirul Awal Nazief,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
55885685300,3,Hapsari I.C.,Ika Chandra,Hapsari,Ika Chandra Hapsari,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
56119154900,2,Ruldeviyani Y.,Yova,Ruldeviyani,Yova Ruldeviyani,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
56521579100,4,Budi N.F.A.,Nur Fitriah Ayuning,Budi,Nur Fitriah Ayuning Budi,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57193701425,2,Fitriani W.R.,Widia Resti,Fitriani,Widia Resti Fitriani,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
57211059390,0,Samik-Ibrahim R.M.,Rahmat M.,Samik-Ibrahim,Rahmat Mustafa Samik-Ibrahim,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
37013424100,7,Handayani P.W.,Putu Wuri,Handayani,Putu Wuri Handayani,110895154,Faculty of Computer Science,Universitas Indonesia,Depok,Java,Indonesia,16424,yes
