Nama,ID Scopus,Oktober Tarik,Akun Scopus 2,Affiliation,Dosen Dengan Gelar
Belawati H. Widjaja,24537903000,ya,"Widjaja, Belawati H; Widjaja, Belawati; Widjaja B.; Widjaja B.H.",UI,"Prof. Belawati H. Widjaja, Dra., M.Sc., Ph.D."
Aniati Murni Arymurthy,36815724000; 57210236236,ya,"Arymurthy, Aniati Murni; Arymurthy, Aniati M.; Arymurthy, Aniati Mumi; Arymurthy, A. M.; Murni Arymurthy, Aniati; Murni, Aniati; Murni, A.; Murni Arymurthy A.; Arymurthy A.M.; Murni A.; Murni Aniati",UI,"Prof. Aniati Murni Arymurthy, Ir., M.Sc., Dr."
Heru Suhartanto,16423632300,ya,"Suhartanto, Heru; Suhartanto, Hera; Suhartanto, H.; Suhartanto H.",UI,"Prof. Heru Suhartanto, Drs., M.Sc., Ph.D."
T. Basaruddin,9334901600,ya,"Basaruddin, T.; Basaruddin, Chan; Basaruddin, T.; Basaruddin T.; Basaruddin C.",UI,"Prof. T. Basaruddin, Drs., M.Sc., Ph.D."
Toemin Achmad Masoem,,tidak,-,,"Prof. Toemin Achmad Masoem, M.Sc., Dr."
Wisnu Jatmiko,8568432600,ya,"Jatrniko, Wisnu; Jatmiko, W.; Jatmiko, Wisnu; Jatmiko W.; Jatmiko Wisnu",UI,"Prof. Wisnu Jatmiko, S.T., M.Kom., Dr. Eng."
Zainal A.Hasibuan,57203922071; 57208267191,ya,"Hasibuan, Zainal A.; Hasibuan, Z. A.; Arifin, Hasibuan Zainal; Hasibuan, Zainal Arifin; Hasibuan, Zainal A.; Hasibuan, Zainal; Hasibuan Z.A.; Hasibuan Z.; Arifin H.Z.",UI,"Prof. Zainal A.Hasibuan, Ir., MLS, Ph.D."
Achmad Nizar Hidayanto,57205093001,ya,"Hidayanto, Achmad Nizar; Hidayanto, A. N.; Hidayanto, Acmad Nizar; Hidayanto, Achmad; Hidayanto A.N.; Hidayanto A.",UI,"Prof. Achmad Nizar Hidayanto, S.Kom., M.Kom., Dr."
Ade Azurat,8980537200,ya,"Azurat, Ade; Azurat, A.; Azurat A.",UI,"Ade Azurat, S.Kom., Dr."
Adhi Yuniarto Laurentius Yohanes,57202130922,ya,"Yohanes, Adhi Yuniarto Laurentius; Yohanes A.Y.L.",UI,"Adhi Yuniarto Laurentius Yohanes, Ir., M.Kom."
Adila Alfa Krisnadhi,23467371600,ya,"Krisnadhi, Adila Alfa; Krisnadhi, Adila A.; Krisnadhi, A. A.; Krisnadhi, Adila; Krisnadhi A.A.; Krisnadhi A.",UI,"Adila Alfa Krisnadhi, S.Kom., M.Sc.,Ph.D"
Amril Syalim,35079468700,ya,"Syalim, Amril; Syalim A.",UI,"Amril Syalim, S.Kom., M.Eng., Ph.D."
Ari Saptawijaya,15064729000,ya,"Saptawijaya, Ari; Saptawijaya, A.; Saptawijaya A.; Saptawijaya Ari",UI,"Ari Saptawijaya, S.Kom., M.C.S., Ph.D."
Bayu Anggorojati,36991829400,ya,"Anggorojati, Bayu; Anggorojati B.; ",UI,"Bayu Anggorojati, S.T., M.Sc., Ph.D."
Betty Purwandari,56716397400,ya,"Purwandari, Betty; Purwandari, B.; Purwandari B.; ",UI,"Betty Purwandari, S.Kom., M.Sc., Ph.D."
Bob Hardian Syahbuddin,15044388200; 57208585093,ya,"Hardian, Bob; Hardian, B.; Syahbuddin, Bob Hardian; Syahbuddin B.H.; Hardian B.",UI,"Bob Hardian Syahbuddin, Ir., M.Kom., Ph.D."
Bobby Achirul Awal Nazief,6508196587,ya,"Nazief, Bobby Achirul Awal; Nazief, Bobby; Nazief, Bobby A.A.; Nazief, B. A.A.; Nazief B.A.A.; Nazief B.; Nazief Bobby",UI,"Bobby Achirul Awal Nazief, Drs., M.Sc., Ph.D."
Dadan Hardianto,6504731736,ya,"Hardianto, Dadan; Hardianto, D.; Hardianto D.; Hardianto Dadan",UI,"Dadan Hardianto, S.Kom, M.Kom."
Dana Indra Sensuse,53264793000; 57208760568,ya,"Sensuse, Dana Indra; Sensuse, D. I.; Indra, Dana; Sensuse, Dana I.; Indra Sensuse, Dana; Indra Sensuse, D.; Sensuse D.I.; Indra Sensuse D.; Indra D.; Indra Sensuse D.",UI,"Dana Indra Sensuse, Ir., M.LIS, Ph.D."
Denny,24338175100,ya,Denny,UI,"Denny, S.Kom., M.I.T., Ph.D."
Dina Chahyati,6503971709,ya,"Chahyati, Dina;  Chahyati D.",UI,"Dina Chahyati, S.Kom., M.Kom."
Eko Kuswardono Budiardjo,6505807438,ya,"Budiardjo, Eko Kuswardono; Budiardjo, E. K.; Budiardjo, Eko K.; Budiardjo E.K.; Budiardjo Eko K.",UI,"Prof. Eko Kuswardono Budiardjo, Ir., M.Sc., Dr."
Erdefi Rakun,55625410200,ya,"Rakun, Erdefi; Rakun, Erden; Rakun E.",UI,"Erdefi Rakun, Ir., M.Sc., Dr."
Fariz Darari,55014563600,ya,"Darari, Fariz; Darari F.",UI,"Fariz Darari, S.Kom, M.Sc., Ph.D"
Gladhi Guarddin,55625472900,ya,"Guarddin, Gladhi; Guarddin G.",UI,"Gladhi Guarddin, S.Kom., M.Kom."
Harry Budi Santoso,55396730800,ya,"Santoso, Harry Budi; Santoso, H. B.; Santoso, Harrybudi; Santoso, Harry; Santoso, Harry B.; Santoso H.B.; Santoso H.",UI,"Harry Budi Santoso, S.Kom., M.Kom., Ph.D"
Heri Kurniawan,,tidak,,,"Heri Kurniawan, S.Kom., M.Kom."
