keywords,sum_paper
information systems,94
computer science,65
indonesia,57
knowledge management,46
e-government,39
artificial intelligence,34
e-learning,33
ontology,33
algorithms,33
learning systems,30
big data,29
deep learning,26
semantic web,26
data mining,25
social media,24
systematic literature review,22
e-commerce,21
classification,21
twitter,21
neural networks,21
machine learning,20
information retrieval,20
security of data,19
trust,17
sem,17
feature extraction,17
semantics,17
vector quantization,17
tam,16
pls-sem,16
pls,16
particle swarm optimization (pso),16
sentiment analysis,15
information use,15
optimization,15
computer simulation,15
neural network,14
cloud computing,14
logic programming,14
classification (of information),14
computational linguistics,13
service quality,13
ahp,13
linguistics,13
access control,13
natural language processing systems,13
it governance,12
purchase intention,12
information quality,12
information security,12
adoption,12
evaluation,12
time series,12
critical success factors,11
robots,11
generalized learning vector quantization,11
data integration,10
visualization,10
knowledge sharing,10
e-business,10
smes,10
birds,10
description logic,10
remote sensing,10
query expansion,10
translation (languages),10
analytic hierarchy process,9
knowledge,9
learning,9
capability,9
support vector machine,9
entropy,9
information technology,9
framework,9
social networking (online),9
information management,9
ontology design,9
conditional random field,9
pattern recognition,9
svm,9
electrocardiography,9
knowledge management system,9
model,8
instagram,8
erp,8
security,8
surveys,8
knowledge representation,8
data handling,8
social sciences,8
principal component analysis,8
decision trees,8
research,8
problem solving,8
soft system methodology,8
forecasting,8
metacognition,8
self-regulated learning,8
content analysis,8
digital libraries,8
cross-language evaluation forums,8
cross-language information retrieval,8
natural language processing,7
indonesian languages,7
speech recognition,7
maturity level,7
critical success factor,7
hospital information system,7
systematic review,7
motivation,7
technology acceptance model,7
user acceptance,7
social commerce,7
innovation,7
education,7
websites,7
enterprise resource planning,7
graphic methods,7
data description,7
web ontology language,7
m2m,7
named entity recognition,7
text mining,7
support vector machines,7
image segmentation,7
government data processing,7
odors,7
extreme learning machine,7
iot,7
sensors,7
user experience,7
interaction design,7
fpga,7
odor source localization,7
structural equation modeling,6
mobile application,6
e-participation,6
intention to use,6
personalization,6
continuance intention,6
genetic algorithm,6
latent dirichlet allocation,6
partial least square,6
architecture,6
naïve bayes,6
enterprise architecture,6
machine translations,6
machine translation,6
retrieval performance,6
software product line,6
user interfaces,6
formal languages,6
decision making,6
text processing,6
convolutional neural network,6
government human capital management,6
vehicle detection,6
cloud,6
usability evaluation,6
association rules,6
computer vision,6
usability testing,6
mobile robots,6
query expansion techniques,6
implementation,5
analytical hierarchy process,5
attitude,5
gamification,5
systematic literature review (slr),5
higher education,5
repurchase intention,5
data management,5
k-means,5
component,5
strategy,5
business process model,5
information services,5
industry,5
business process,5
project management,5
rule based,5
database systems,5
modeling languages,5
software design,5
computer software,5
reverse engineering,5
dbpedia,5
metadata,5
traffic congestion,5
query answering,5
computational complexity,5
authentication,5
digital storage,5
cryptography,5
network security,5
convolutional neural networks,5
sleep stage classification,5
long short-term memory,5
face recognition,5
pca,5
data compression,5
diseases,5
imbalanced data,5
backpropagation,5
scheduling,5
state of the art,5
computation theory,5
lethal autonomous,5
knowledge acquisition,5
mathematical models,5
information analysis,5
prediction,5
vehicles,5
clustering,5
cluster analysis,5
fuzzy logic,5
image processing,5
collaborative learning,5
learning style,5
data structures,5
design,5
software engineering,5
semantic segmentation,5
engineering design,5
enhanced guided notes,5
decision tree,5
image reconstruction,5
ecg,5
learning vector quantization,5
ellipse detection,5
emotion recognition,5
particle swarm optimization,5
indonesians,4
awareness,4
technology adoption,4
system quality,4
toe,4
master data management,4
prototype,4
importance performance analysis,4
satisfaction,4
csf,4
data warehouse,4
success factor,4
hospital,4
analytic hierarchy process (ahp),4
tourism,4
mobile payment,4
swot analysis,4
social cognitive theory,4
cnn,4
human resource management,4
feature selection,4
slr,4
csfs,4
utaut,4
students,4
website quality,4
quality control,4
electronic commerce,4
small and medium enterprises,4
sme,4
computer aided language translation,4
organizational culture,4
indonesian,4
parallel corpora,4
expert systems,4
network routing,4
spark,4
recommender system,4
geographic information systems,4
axiomatization,4
ontology engineering,4
ontology patterns,4
jakarta,4
self organizing maps,4
query languages,4
internet of things,4
computers,4
question answering system,4
machine learning approaches,4
affective computing,4
human computer interaction,4
extraction,4
xgboost,4
random processes,4
evolutionary algorithms,4
algorithm,4
human,4
humans,4
trees (mathematics),4
e-governments,4
image enhancement,4
e-livestock,4
feature extraction methods,4
gaussian mixture model,4
meta-ethnography,4
wavelet transform,4
object recognition,4
data sets,4
ecg signals,4
k-means clustering,4
odor recognition system,4
constraint theory,4
data reduction,4
application programs,4
knowledge base,4
teaching,4
abduction,4
morality,4
game theory,4
philosophical aspects,4
computer aided instruction,4
network protocols,4
systems analysis,4
fimt-dd,4
wikipedia,4
social network analysis,4
smart city,4
cobit 5,4
prisma,4
statistics,4
simulation environment,4
geometry,4
hardware,4
forestry,4
literature studies,4
expert judgment,4
maturity,4
km readiness,4
knowledge management strategy,4
human capital,4
ocai,4
knowledge management process,4
behavioral intention,4
usability,4
reliability,4
competitive advantage,4
self-organizing map,4
self-organizing maps,4
n-gram,4
lstm,4
query processing,4
data completeness,4
online transportation,4
pedagogical agent,4
community of inquiry,4
scele,4
learning contents,4
personalizations,4
student-centered learning,4
runge kutta methods,4
similarity measure,4
scattering media,4
sleep research,4
pattern recognition systems,4
robotics,4
hough transforms,4
modified particle swarm optimization,4
electrocardiogram,4
certificate policy,4
facial expression recognition,4
facial expression,4
particle filter,4
feature extraction and classification,4
classification system,4
erp implementation success,4
syntactics,3
artificial neural network,3
word embedding,3
readiness,3
gap analysis,3
quality function deployment,3
regression analysis,3
security awareness,3
data quality,3
md3m,3
customer satisfaction,3
perceived risk,3
perceived usefulness,3
structural equation modelling,3
opportunity,3
benefits,3
business intelligence,3
sales,3
e-marketplace,3
dmbok,3
barriers,3
acceptance factor,3
intention,3
pap smear images,3
convolution,3
amos,3
e-payment,3
rfid,3
odoo,3
literature review,3
fuzzy,3
software development,3
e-procurement,3
is success model,3
acceptance,3
structural equational modeling,3
social crm,3
crm,3
partial least squares,3
topsis,3
risk,3
virtual community,3
perceived quality,3
commerce,3
e-wom,3
technology,3
small and medium enterprise,3
social networks,3
risk management,3
information theory,3
speech transmission,3
information system,3
organizational performance,3
computer architecture,3
distributed computer systems,3
software product line (spl),3
behavioral specification,3
community detection,3
monte carlo methods,3
domain experts,3
tensorflow,3
real-world,3
knowledge engineering,3
plug-ins,3
ontology design pattern,3
decision support systems,3
linked datum,3
alignment,3
world wide web,3
new approaches,3
traffic jams,3
traffic signals,3
security system,3
software development process,3
job search,3
user model,3
indonesian language,3
information extraction,3
sequence labeling,3
naive bayes,3
recurrent neural networks,3
advice mining,3
data privacy,3
graph theory,3
risk analysis,3
heuristic methods,3
location,3
polysomnography,3
land cover,3
random forest,3
